Номенклатура;ТМ;Артикул;Тип упаковки;Ссылка на сайт;Состав;Под заказ;Длина 1 штуки (см);Ширина 1 штуки (см);Высота 1 штуки (см);Длина 1 упаковки (см);Ширина 1 упаковки (см);Высота 1 упаковки (см);Примечание;Минимум заказа;Кратность заказа;Фасовка;Единица измерения;Картинка;Оптовая цена;Вес в граммах;Страна
;;;;;;;;;;;;;;;;;;;;;
Игрушки;;;;;;;;;;;;;;;;;;;;;
Мягкая игрушка;;;;;;;;;;;;;;;;;;;;;
Интерьерные игрушки;;;;;;;;;;;;;;;;;;;;;
"Декор ""Зайка в ярком платье""";;837027;Пакет;https://www.sima-land.ru/837027;дерево, синтепон, текстиль;Нет;5.5;17.0;32.5;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/724444/0/700.jpg;177.02;110;Китай
"Декор ""Котофей Иваныч""";;837029;Пакет;https://www.sima-land.ru/837029;песок, синтепон, текстиль;Нет;7.0;15.0;28.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/724447/0/700.jpg;163.90;185;Китай
"Декор ""Мишка в кремовом платьице""";;1061819;Картонная коробка с PVC;https://www.sima-land.ru/1061819;текстиль;Нет;;;31.0;;;31.0;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/875593/0/700.jpg;409.86;255;Китай
"Декор ""Мишка в сиреневом платьице и шляпке""";;1061818;Картонная коробка с PVC;https://www.sima-land.ru/1061818;текстиль;Нет;;;32.5;;;32.5;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/875536/0/700.jpg;159.00;275;Китай
"Декор ""Мишка Фанни""";;1061816;Пакет;https://www.sima-land.ru/1061816;текстиль;Нет;;;19.0;;;19.0;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/875621/0/700.jpg;425.00;110;Китай
"Декор ""Мишка-малышка""";;1061820;Картонная коробка с PVC;https://www.sima-land.ru/1061820;текстиль;Нет;;;38.0;;;38.0;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/875557/0/700.jpg;790.00;405;Китай
"Декор подвесной ""Заяц сидит в кольце""";;836990;Пакет;https://www.sima-land.ru/836990;дерево, синтепон, текстиль;Нет;5.0;25.5;33.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/724459/0/700.jpg;490.00;105;Китай
"Декор ""Барашек с цветочком"", текстиль, МИКС";;279248;п/п пакет;https://www.sima-land.ru/279248;пенопласт, текстиль;Нет;12.0;10.0;28.0;;;;;2;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/176431/0/700.jpg;101.42;28;Китай
"Игрушка-подушка декоративная ""Единорог"", хлопок, бирюзовая, 45 х 25 см";VamVigvam;2340056;;https://www.sima-land.ru/2340056;;Да;45.0;25.0;10.0;30.0;30.0;30.0;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/1942377/0/700.jpg;690.00;280;Россия
"Игрушка-подушка декоративная ""Единорог"", хлопок, золотая, 45 х 25 см";VamVigvam;2340058;;https://www.sima-land.ru/2340058;;Да;45.0;25.0;10.0;30.0;30.0;30.0;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/1942904/0/700.jpg;690.00;280;Россия
"Игрушка-подушка декоративная ""Единорог"", хлопок, розовая, 45 х 25 см";VamVigvam;2340057;;https://www.sima-land.ru/2340057;;Да;45.0;25.0;10.0;30.0;30.0;30.0;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/1942378/0/700.jpg;690.00;280;Россия
"Игрушка-подушка декоративная, ""Единорог"", хлопок, чёрная, 45 х 25 см";VamVigvam;2340059;;https://www.sima-land.ru/2340059;;Да;45.0;25.0;10.0;30.0;30.0;30.0;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/1942379/0/700.jpg;689.52;280;Россия
"Интерьерная игрушка ""Ризеншнауцер"" 36 см";Богатый дом;2857109;Пакет;https://www.sima-land.ru/2857109;синтетический пух, полиэстер, хлопок;Нет;;;;35.0;17.0;21.0;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/2364007/0/700.jpg;1 968.75;1 445;Россия
"Интерьерная игрушка ""Бладхаунд"" 40 см";Богатый дом;2857113;Пакет;https://www.sima-land.ru/2857113;синтетический пух, полиэстер, хлопок;Нет;;;;42.0;17.0;20.0;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/2364011/0/700.jpg;1 968.75;1 410;Россия
"Интерьерная игрушка ""Бладхаунд"" 40 см";Богатый дом;2857114;Пакет;https://www.sima-land.ru/2857114;синтетический пух, полиэстер, хлопок;Нет;;;;42.0;18.0;21.0;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/2364012/0/700.jpg;1 968.75;1 468;Россия
"Интерьерная игрушка ""Бладхаунд"" лежачий 67 см";Богатый дом;2857117;Пакет;https://www.sima-land.ru/2857117;синтетический пух, полиэстер, хлопок;Нет;;;;64.0;17.0;21.0;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/2364015/0/700.jpg;2 231.25;2 125;Россия
"Интерьерная игрушка ""Ёж"" 27 см";Богатый дом;2857111;Пакет;https://www.sima-land.ru/2857111;синтетический пух, полиэстер, хлопок;Нет;;;;17.0;16.0;25.0;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/2364009/0/700.jpg;1 968.75;786;Россия
"Интерьерная игрушка ""Ризеншнауцер"" 36 см";Богатый дом;2857110;Пакет;https://www.sima-land.ru/2857110;синтетический пух, полиэстер, хлопок;Нет;;;;34.0;17.0;22.0;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/2364008/0/700.jpg;1 968.75;1 420;Россия
"Интерьерная игрушка ""Такса"" лежачая 67 см";Богатый дом;2857115;Пакет;https://www.sima-land.ru/2857115;синтетический пух, полиэстер, хлопок;Нет;;;;68.0;17.0;21.0;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/2364013/0/700.jpg;2 231.25;2 200;Россия
"Интерьерная игрушка ""Такса"" лежачая 67 см";Богатый дом;2857116;Пакет;https://www.sima-land.ru/2857116;синтетический пух, полиэстер, хлопок;Нет;;;;64.0;18.0;20.0;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/2364014/0/700.jpg;2 231.25;2 150;Россия
"Интерьерная игрушка ""Такса"" стоячая 40 см";Богатый дом;2857112;Пакет;https://www.sima-land.ru/2857112;синтетический пух, полиэстер, хлопок;Нет;;;;46.0;17.0;20.0;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/2364010/0/700.jpg;1 968.75;1 471;Россия
"Кукла ""Ангелочек пушок""";;107010;Пакет;https://www.sima-land.ru/107010;текстиль;Нет;;;41.0;28.0;15.0;8.0;;1;не менее минимума;6;шт;http://cdn2.static1-sima-land.com/items/14817/0/700.jpg;691.49;400;Китай
"Кукла ""Ветеран"", высота 30 см   2624605";Бока;2624605;Пакет;https://www.sima-land.ru/2624605;полиэстер, хлопок;Нет;;;;28.0;24.0;9.0;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/2508351/0/700.jpg;429.00;140;Россия
"Кукла ""Десант"", высота 30 см   2624606";Бока;2624606;Пакет;https://www.sima-land.ru/2624606;полиэстер;Нет;;;;30.0;21.0;8.0;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/2508716/0/700.jpg;429.00;140;Россия
"Кукла интерьерная ""Ангел-девочка в белой шубке, колпаке и шарфике"" 47 см 2315149";;2315149;Пакет;https://www.sima-land.ru/2315149;песок, полистоун, текстиль;Нет;;;47.0;8.0;16.0;47.0;;1;не менее минимума;6;шт;http://cdn2.static1-sima-land.com/items/2195602/0/700.jpg;612.80;350;Китай
"Кукла интерьерная ""Ангел-девочка в белом платье с сердечками"" 35 см 2315156";;2315156;Пакет;https://www.sima-land.ru/2315156;полистоун, текстиль;Нет;;;35.0;31.0;14.0;7.0;;1;не менее минимума;6;шт;http://cdn2.static1-sima-land.com/items/2195609/0/700.jpg;735.81;450;Китай
"Кукла интерьерная ""Ангел-девочка в белом платье с сердечками"" 50 см 2315161";;2315161;Пакет;https://www.sima-land.ru/2315161;полистоун, текстиль;Нет;;;57.0;50.0;12.0;8.0;;1;не менее минимума;6;шт;http://cdn2.static1-sima-land.com/items/2195614/0/700.jpg;914.31;457;Китай
"Кукла интерьерная ""Ангел-девочка в платье с кудрявой юбочкой"" 48 см 2315160";;2315160;Пакет;https://www.sima-land.ru/2315160;полистоун, текстиль;Нет;;;48.0;42.0;9.0;9.0;;1;не менее минимума;4;шт;http://cdn2.static1-sima-land.com/items/2195613/0/700.jpg;936.94;550;Китай
"Кукла интерьерная ""Ангел-девочка в чёрно-белой шубке с висячими ножками"" 50 см 2315153";;2315153;Пакет;https://www.sima-land.ru/2315153;песок, полистоун, текстиль;Нет;;;50.0;8.0;23.0;50.0;;1;не менее минимума;6;шт;http://cdn2.static1-sima-land.com/items/2195606/0/700.jpg;712.18;450;Китай
"Кукла интерьерная ""Ангел-девочка в чёрно-белой шубке стоит"" 37 см 2315154";;2315154;Пакет;https://www.sima-land.ru/2315154;полистоун, текстиль;Нет;;;37.0;37.0;10.5;6.5;;1;не менее минимума;6;шт;http://cdn2.static1-sima-land.com/items/2195607/0/700.jpg;722.16;357;Китай
"Кукла интерьерная ""Ангел-девочка застенчивая с сердечком"" 33 см 2315146";;2315146;Пакет;https://www.sima-land.ru/2315146;полистоун, текстиль;Нет;;;33.0;33.0;8.0;14.0;;1;не менее минимума;6;шт;http://cdn2.static1-sima-land.com/items/2195599/0/700.jpg;582.13;347;Китай
"Кукла интерьерная ""Ангелочек-девочка в красном пальто"" 52 см  3134157";;3134157;Пакет;https://www.sima-land.ru/3134157;полистоун, текстиль;Нет;;;52.0;52.0;16.0;16.0;;1;не менее минимума;4;шт;http://cdn2.static1-sima-land.com/items/3255849/0/700.jpg;1 200.77;1 350;Китай
"Кукла интерьерная ""Ваня в шапочке с меховой оторочкой"" 28 см  3134139";;3134139;Пакет;https://www.sima-land.ru/3134139;полистоун, текстиль;Нет;;;28.0;30.0;10.0;8.0;;1;не менее минимума;6;шт;http://cdn2.static1-sima-land.com/items/3255831/0/700.jpg;643.05;392;Китай
"Кукла интерьерная ""Девочка в белом платье и полосатом шарфике"" 41 см 2315150";;2315150;Пакет;https://www.sima-land.ru/2315150;полистоун, текстиль;Нет;;;41.0;33.0;14.0;14.0;;1;не менее минимума;6;шт;http://cdn2.static1-sima-land.com/items/2195603/0/700.jpg;689.68;350;Китай
"Кукла интерьерная ""Девочка в белом платье и полосатом шарфике"" 46 см 2315152";;2315152;Пакет;https://www.sima-land.ru/2315152;песок, полистоун, текстиль;Нет;;;46.0;9.0;18.0;46.0;;1;не менее минимума;12;шт;http://cdn2.static1-sima-land.com/items/2195605/0/700.jpg;683.00;350;Китай
"Кукла интерьерная ""Девочка в белом платье с сердечком"" 43 см  3134148";;3134148;Пакет;https://www.sima-land.ru/3134148;полистоун, текстиль;Нет;;;43.0;38.0;11.0;8.0;;1;не менее минимума;4;шт;http://cdn2.static1-sima-land.com/items/3255840/0/700.jpg;795.47;415;Китай
"Кукла интерьерная ""Девочка в белом платье с сердечком"" 78 см   3134158";;3134158;Пакет;https://www.sima-land.ru/3134158;полистоун, текстиль;Нет;;;78.0;60.0;15.0;23.0;;1;не менее минимума;2;шт;http://cdn2.static1-sima-land.com/items/3255850/0/700.jpg;1 255.01;1 295;Китай
"Кукла интерьерная ""Девочка в вязаном платье и белом шарфике"" 31 см 2315151";;2315151;Пакет;https://www.sima-land.ru/2315151;полистоун, текстиль;Нет;;;31.0;29.0;17.0;9.0;;1;не менее минимума;6;шт;http://cdn2.static1-sima-land.com/items/2195604/0/700.jpg;695.84;340;Китай
"Кукла интерьерная ""Девочка в красной юбочке с сердечками"" 56 см  3134154";;3134154;Пакет;https://www.sima-land.ru/3134154;полистоун, текстиль;Нет;;;56.0;43.0;17.0;13.0;;1;не менее минимума;4;шт;http://cdn2.static1-sima-land.com/items/3255846/0/700.jpg;889.96;663;Китай
"Кукла интерьерная ""Девочка в красном колпаке и полосатом шарфике"" 57 см 2315155";;2315155;Пакет;https://www.sima-land.ru/2315155;песок, полистоун, текстиль;Нет;;;57.0;8.0;23.0;57.0;;1;не менее минимума;4;шт;http://cdn2.static1-sima-land.com/items/2195608/0/700.jpg;740.38;500;Китай
"Кукла интерьерная ""Девочка в серой шубке и шапке"" 34 см 2315157";;2315157;Пакет;https://www.sima-land.ru/2315157;полистоун, текстиль;Нет;;;34.0;36.0;17.0;11.0;;1;не менее минимума;6;шт;http://cdn2.static1-sima-land.com/items/2195610/0/700.jpg;766.25;450;Китай
"Кукла интерьерная ""Девочка в сером платьице с меховой отделкой"" 46 см 2315158";;2315158;Пакет;https://www.sima-land.ru/2315158;полистоун, текстиль;Нет;;;46.0;37.0;16.0;16.0;;1;не менее минимума;4;шт;http://cdn2.static1-sima-land.com/items/2195611/0/700.jpg;775.56;500;Китай
"Кукла интерьерная ""Девочка в шубке и шапке-совенка"" 33 см 2315148";;2315148;Пакет;https://www.sima-land.ru/2315148;полистоун, текстиль;Нет;;;33.0;28.0;16.0;11.0;;1;не менее минимума;4;шт;http://cdn2.static1-sima-land.com/items/2195601/0/700.jpg;630.77;370;Китай
"Кукла интерьерная ""Девочка-ангелочек в белых ботах"" 56 см  3134155";;3134155;Пакет;https://www.sima-land.ru/3134155;полистоун, текстиль;Нет;;;56.0;42.0;13.0;8.0;;1;не менее минимума;6;шт;http://cdn2.static1-sima-land.com/items/3255847/0/700.jpg;915.89;663;Китай
"Кукла интерьерная ""Девочка-ангелочек в меховых валенках"" 40 см  3134149";;3134149;Пакет;https://www.sima-land.ru/3134149;полистоун, текстиль;Нет;;;40.0;38.0;14.0;14.0;;1;не менее минимума;4;шт;http://cdn2.static1-sima-land.com/items/3255841/0/700.jpg;805.68;425;Китай
"Кукла интерьерная ""Малыш с лыжами"" 33 см  3134153";;3134153;Пакет;https://www.sima-land.ru/3134153;полистоун, текстиль;Нет;;;33.0;36.0;17.0;10.0;;1;не менее минимума;4;шт;http://cdn2.static1-sima-land.com/items/3255845/0/700.jpg;827.81;500;Китай
"Кукла интерьерная ""Малышка в коричневой шубке с сердечком"" 47 см  3134140";;3134140;Пакет;https://www.sima-land.ru/3134140;полистоун, текстиль;Нет;;;47.0;30.0;10.0;8.0;;1;не менее минимума;4;шт;http://cdn2.static1-sima-land.com/items/3255832/0/700.jpg;664.52;383;Китай
"Кукла интерьерная ""Малышка в красной кофточке"" 38 см  3134142";;3134142;Пакет;https://www.sima-land.ru/3134142;полистоун, текстиль;Нет;;;38.0;38.0;16.0;8.0;;1;не менее минимума;4;шт;http://cdn2.static1-sima-land.com/items/3255834/0/700.jpg;725.85;458;Китай
"Кукла интерьерная ""Малышка в сереньких валенках"" 41 см  3134141";;3134141;Пакет;https://www.sima-land.ru/3134141;полистоун, текстиль;Нет;;;41.0;30.0;12.0;10.0;;1;не менее минимума;6;шт;http://cdn2.static1-sima-land.com/items/3255833/0/700.jpg;675.88;417;Китай
"Кукла интерьерная ""Малышка с лыжами"" 33 см  3134152";;3134152;Пакет;https://www.sima-land.ru/3134152;полистоун, текстиль;Нет;;;33.0;35.0;16.0;13.0;;1;не менее минимума;4;шт;http://cdn2.static1-sima-land.com/items/3255844/0/700.jpg;827.81;488;Китай
"Кукла интерьерная ""Мальчик в кофточке"" 38 см  3134143";;3134143;Пакет;https://www.sima-land.ru/3134143;полистоун, текстиль;Нет;;;38.0;38.0;13.0;10.0;;1;не менее минимума;4;шт;http://cdn2.static1-sima-land.com/items/3255835/0/700.jpg;725.85;465;Китай
"Кукла интерьерная ""Мальчик-ангелочек в меховых валенках"" 40 см  3134150";;3134150;Пакет;https://www.sima-land.ru/3134150;полистоун, текстиль;Нет;;;40.0;33.0;14.0;10.0;;1;не менее минимума;4;шт;http://cdn2.static1-sima-land.com/items/3255842/0/700.jpg;805.68;413;Китай
"Кукла интерьерная ""Маруся в шапочке-ушанке"" 52 см  3134156";;3134156;Пакет;https://www.sima-land.ru/3134156;полистоун, текстиль;Нет;;;52.0;57.0;19.0;11.0;;1;не менее минимума;4;шт;http://cdn2.static1-sima-land.com/items/3255848/0/700.jpg;1 098.25;1 250;Китай
"Кукла интерьерная ""Сова с полосатыми ножками"" 37 см  3134144";;3134144;Пакет;https://www.sima-land.ru/3134144;текстиль;Нет;;;37.0;35.0;13.0;13.0;;1;не менее минимума;4;шт;http://cdn2.static1-sima-land.com/items/3255836/0/700.jpg;802.77;588;Китай
"Кукла интерьерная ""Совёнок в валенках и колпачкке"" 47 см 2315147";;2315147;Пакет;https://www.sima-land.ru/2315147;полистоун, текстиль;Нет;;;47.0;8.0;16.0;47.0;;1;не менее минимума;6;шт;http://cdn2.static1-sima-land.com/items/2195600/0/700.jpg;637.80;460;Китай
"Кукла интерьерная ""Совёнок в клетчатом колпаке и оленями на пузике"" 49 см 2315159";;2315159;Пакет;https://www.sima-land.ru/2315159;полистоун, текстиль;Нет;;;49.0;31.0;19.0;9.0;;1;не менее минимума;4;шт;http://cdn2.static1-sima-land.com/items/2195612/0/700.jpg;842.03;460;Китай
"Мягкая музыкальная игрушка ""Лошадь"" с разноцветной гривой, на ножках пуговки";;326330;Без упаковки;https://www.sima-land.ru/326330;текстиль;Нет;;;13.0;;;;Эксклюзив;2;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/221391/0/700.jpg;40.00;45;Китай
"Мягкая музыкальная игрушка ""Лошадь"" с бело-розовой гривой в мелкий цветочек";;326331;Без упаковки;https://www.sima-land.ru/326331;текстиль;Нет;6.0;8.0;13.0;;;;Эксклюзив;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/221392/0/700.jpg;45.00;49;Китай
"Мягкая игрушка зайка ""Li лисичка""";;2694963;коробка;https://www.sima-land.ru/2694963;текстиль;Нет;9.0;7.0;25.0;13.0;15.0;19.5;Эксклюзив;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/3055324/0/700.jpg;385.00;135;Китай
"Мягкая игрушка зайка ""Li путешественница""";;2694958;коробка;https://www.sima-land.ru/2694958;текстиль;Нет;9.0;7.0;25.0;13.0;15.0;19.5;Эксклюзив;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/3055319/0/700.jpg;418.00;135;Китай
"Мягкая игрушка зайка ""Lu мечтатель""";;2694961;коробка;https://www.sima-land.ru/2694961;текстиль;Нет;9.0;7.0;25.0;13.0;15.0;19.5;Эксклюзив;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/3055322/0/700.jpg;385.00;135;Китай
"Мягкая игрушка зайка ""Lu морячок""";;2694959;коробка;https://www.sima-land.ru/2694959;текстиль;Нет;9.0;7.0;25.0;13.0;15.0;19.5;Эксклюзив;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/3055320/0/700.jpg;385.00;135;Китай
"Подушка-игрушка ""Апельсин""";;1015844;Пакет;https://www.sima-land.ru/1015844;текстиль;Нет;37.0;37.0;7.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/812012/0/700.jpg;360.00;270;Китай
"Мягкая игрушка зайка ""Зайка Li""";;2694962;коробка;https://www.sima-land.ru/2694962;текстиль;Нет;9.0;7.0;25.0;13.0;15.0;19.5;Эксклюзив;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/3055323/0/700.jpg;385.00;88;Китай
"Мягкая игрушка ""Зайка"", без штанишек 1047948";;1047948;Пакет;https://www.sima-land.ru/1047948;текстиль;Нет;50.0;10.0;12.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/892167/0/700.jpg;210.00;220;Китай
"Мягкая игрушка ""Зайка"", в панталонах 1047937";;1047937;Пакет;https://www.sima-land.ru/1047937;текстиль;Нет;49.0;8.0;15.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/892118/0/700.jpg;350.00;367;Китай
"Мягкая игрушка ""Зайка"", в полосатых шортах 1047940";;1047940;Пакет;https://www.sima-land.ru/1047940;текстиль;Нет;65.0;6.0;16.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/892130/0/700.jpg;375.00;218;Китай
